Transaction Hash,BlockNo,DateTime (UTC),Action,Price,Market,Buyer Address,Buyer Name,Type,Item,Quantity
"0x098c44f51541154b1d067449884dd344bd234137f51bc19eda5bdcfa7fe6d362","22384118","2025-04-30 20:03:59","Bought","1.649ETH ($2,958.03)","Seaport","0xbC685360C76009D3F69986Fe790930870F279BE6","","ERC-721","LilPudgys","1"
"0x9bd374561bd5d91695fa942ef2f96f06d1acecf9e81f247e8d6d199c69da88a7","22383917","2025-04-30 19:23:11","Bought","1.45WETH ($2,601.05)","Seaport","0xa8A39f38FB73FEA437972ea8421264878E7c12d8","","ERC-721","LilPudgys","1"
"0xa9e766f88df6f8df62f3ba25751997967d4ee8839251fbe13e8e9a4ba617622d","22383173","2025-04-30 16:52:47","Bought","1.46WETH ($2,618.99)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0x34f5cb1e05d61b6be35afcafd3f7aac41adaf8a3d9d7e95f9336ff21dbfbc1ab","22383090","2025-04-30 16:35:59","Bought","1.48ETH ($2,654.87)","Seaport","0xce5518e64a67fcD3B76Fb5ae2906ad5dF8867FbC","","ERC-721","LilPudgys","1"
"0xa3a61377ddb5122521cf7225f77d398ce4c36bef4bfd89073ef435982abca7ac","22382359","2025-04-30 14:08:35","Bought","1.77ETH ($3,175.08)","Seaport","0x8e4a4eBB5D1f689aFaaBCe37eec80BA50b0748D1","","ERC-721","LilPudgys","1"
"0xa6b7bb69446487195d838a1f3bc03bece016d4dea23ae5b2952c331f00646b7a","22382174","2025-04-30 13:31:23","Bought","1.4892ETH ($2,671.37)","Seaport","0x353df2327065E24A010116B37C0BA12DCA04d4c3","","ERC-721","LilPudgys","1"
"0x2bf1a9143428b68814675068b02d922fdd76813628a72819a88feac6852829ce","22382108","2025-04-30 13:17:59","Bought","0ETH ","Blur","0x0000db5c8B030ae20308ac975898E09741e70000","Fake_Phishing187019","ERC-721","LilPudgys","1"
"0x613371ba1618edfaba394652073b0a2070c5df7039c2f74dc76a1847625c3ccd","22381751","2025-04-30 12:05:59","Bought","1.469ETH ($2,635.14)","Seaport","0x1E27a1f7047CA30b77C9Ed7038ff098C2C2083C9","","ERC-721","LilPudgys","1"
"0xa1973297244f938a8fe0101b21b340b555233924559fdeccc21e43abb2bc9f10","22381066","2025-04-30 09:47:59","Bought","1.44WETH ($2,583.12)","Seaport","0x36a8169ECd533FDE80EE458937dbb954A877E08e","","ERC-721","LilPudgys","1"
"0xcdcbe96f9c447356f351bccf794232ffd8159977425e9292f9ecdb1659df22e7","22381018","2025-04-30 09:38:23","Bought","1.525ETH ($2,735.59)","Seaport","0x6439f5D99c85A66a3dE6D2ceE73CcC4E2B011aEe","","ERC-721","LilPudgys","1"
